SIP Code,Project,Contract No,Contractor,Line of Business,Contract Period Start,Contract Period End, Total Budget ,Service Site,Service Site Description 
A2G,Homeless Youth Services,DA16-7352,ROOTS Young Adult Shelter,YDAD Youth Development,01/01/2016,12/31/2016,$183867.00,"1415 NE 43rd St , Seattle, WA 98105",Service Site
C2A,DV & SA Response System Improvement,DA16-1020,Coalition Ending Gender-Based Violence,MODVSAP,01/01/2016,12/31/2016,$105408.00,"1419 S Jackson St # 103, Seattle, WA 98144",Primary site
A2C,Permanent Supportive Housing,DA16-1785,Archdiocesan Housing Authority,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$170354.00,"1431 Minor Ave, Seattle, WA 98101",Service Site
B3A,Youth Development and Educational Support,DA15-1516,Catholic Community Services of Western Washington,YDAD Youth Development,09/01/2015,12/31/2016,$53751.50,"14374 30th NE, Seattle, WA  98125",Service Site
B1A,Family Resource Center,DA16-1025,FamilyWorks,ELFS Family Development,01/01/2016,12/31/2016,$165513.00,"1501 N 45th St, Seattle, WA 98103",Service Site
B1C,Teen Parent Support,DA16-1028,FamilyWorks,ELFS Family Development,01/01/2016,12/31/2016,$18915.00,"1501 N 45th St, Seattle, WA 98103",Service Site
NA3E,Food Banks,DA16-1061,FamilyWorks,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$101955.00,"1501 N 45th St, Seattle, WA 98103",Service Site
NA3G,Home Food Delivery,DA16-1061,FamilyWorks,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$20139.00,"1501 N 45th St, Seattle, WA 98103",Service Site
A2A,Emergency Shelters,DA16-1352,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$255762.00,"1501 N 45th St, Seattle, WA 98103-6708",Confidential Site (primary site provided if available)
A1A,Housing Stability Services,DA16-1106,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$355118.85,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
B2H,Coordinated Services for Homeless Young Children and Their Families,DA16-1133,Solid Ground Washington,ELFS Child Development,01/01/2016,12/31/2016,$121968.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1149,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$123655.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
NE3B,Food System Support,DA16-1229,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$96650.00,"1501 N 45th St, Seattle, WA 98103-6708",Primary site
A2A,Emergency Shelters,DA16-1350,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$263220.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
A2B,Transitional Housing,DA16-1351,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$226750.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
NE3B,Food System Support,DA16-1466,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$80842.00,"1501 N 45th St, Seattle, WA 98103-6708",Primary site
A1A,Housing Stability Services,DA16-1491,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$277169.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1543,Solid Ground Washington,CSD Emergency and Transitional Svcs,05/01/2016,04/30/2017,$685322.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
A2B,Transitional Housing,DA16-1555,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$65458.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
A1A,Housing Stability Services,DA15-1543,Solid Ground Washington,CSD Emergency and Transitional Svcs,05/01/2015,04/30/2016,$234022.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
A2B,Transitional Housing,DA15-1554,Solid Ground Washington,CSD Emergency and Transitional Svcs,02/01/2015,02/29/2016,$224350.24,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
A1A,Housing Stability Services,DA15-5526,Solid Ground Washington,CSD Emergency and Transitional Svcs,05/01/2015,04/30/2016,$498007.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1581,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$25000.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
E1B,Protecting Assets,DA16-1581,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$57074.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
E2A,Access to Services,DA16-1619,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$37061.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1626,Solid Ground Washington,CSD Emergency and Transitional Svcs,03/01/2016,02/28/2017,$380941.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
NA3F,Food Distribution,DA16-3792,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$172331.00,"1501 N 45th St, Seattle, WA 98103-6708",Primary site
A2D,Resources for Housing,DA16-5003,Solid Ground Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$22744.00,"1501 N 45th St, Seattle, WA 98103-6708",Various sites (primary site provided)
D5B,Case Management for Seniors and Adults w/ Disabilities,DA16-1146,Lifelong AIDS Alliance,ADS Area Agency on Aging,07/01/2016,06/30/2017,$782013.00,"15015 Main St #206, Bellevue, WA 98007",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-1662,"First Choice In-Home Care, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$274898.00,"15015 Main St,  Suite 209, Bellevue, WA 98007",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1662,"First Choice In-Home Care, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$30958.66,"15015 Main St,  Suite 209, Bellevue, WA 98007",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-1662,"First Choice In-Home Care, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$295454.58,"15015 Main St,  Suite 209, Bellevue, WA 98007",Various sites (primary site provided)
A2G,Homeless Youth Services,DA16-6138,GD Association,YDAD Youth Development,01/01/2016,12/31/2016,$41097.00,"1502 E Yesler Way # 2, Seattle, WA 98122",Service Site
Z1A,General Administration,DC16-1243,Strategies 360,LAD Leadership & Administration,07/01/2016,12/31/2016,$20000.00,"1505 Westlake Ave N, Seattle, WA 98109",Primary site
ND5F,Family Caregiver Support Program,DA15-7220,Crisis Clinic,ADS Area Agency on Aging,07/01/2015,06/30/2016,$114148.00,"1515 Dexter Ave N Ste 300, Seattle, WA 98109",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA16-7220,Crisis Clinic,ADS Area Agency on Aging,07/01/2016,06/30/2017,$119148.00,"1515 Dexter Ave N Ste 300, Seattle, WA 98109",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-5169,Amicable Healthcare Inc.,ADS Area Agency on Aging,07/01/2015,06/30/2016,$284817.87,"15220 32nd Ave S, SeaTac, WA 98188",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-5169,Amicable Healthcare Inc.,ADS Area Agency on Aging,07/01/2015,06/30/2016,$58635.13,"15220 32nd Ave S, SeaTac, WA 98188",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-5169,Amicable Healthcare Inc.,ADS Area Agency on Aging,07/01/2016,06/30/2017,$49708.28,"15220 32nd Ave S, SeaTac, WA 98188",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-5169,Amicable Healthcare Inc.,ADS Area Agency on Aging,07/01/2016,06/30/2017,$169373.50,"15220 32nd Ave S, SeaTac, WA 98188",Various sites (primary site provided)
NA3E,Food Banks,DA16-1584,Pike Market Senior Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$68490.00,"1531 Western Ave P, Seattle, WA 98101",Service Site
D5F,Family Caregiver Programs,DA15-4052,Vashon Community Care Center,ADS Area Agency on Aging,07/01/2015,06/30/2016,$4000.00,"15333 Vashon Hwy SW, Vashon, WA 98070",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-7097,SoundCare HomeCare Services,ADS Area Agency on Aging,07/01/2016,12/31/2017,$23592.87,"15418 11TH AVE SW, Burien, WA 98166",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-7097,SoundCare HomeCare Services,ADS Area Agency on Aging,07/01/2015,06/30/2016,$23100.00,"15418 11TH AVE SW, Burien, WA 98166",Various sites (primary site provided)
A2A,Emergency Shelters,DA16-1445,Catholic Community Services of Western Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$485782.00,"1561 Alaskan Way S, Seattle, WA 98134",Service Site
A2A,Emergency Shelters,DA16-1682,Compass Housing Alliance,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$454983.00,"157 Roy St, Seattle, WA 98109",Service Site
E3C,Administrative Operations,DC16-1607,Sound Supports,YDAD Youth Development,01/01/2016,09/30/2017,$69190.00,"15810 6th Ave NE, Shoreline, WA 98155",Primary site
A2B,Transitional Housing,DA16-1349,First Place,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$58203.00,"160 20th Ave, Seattle, WA 98122",Service Site
A1A,Housing Stability Services,DA15-1436,Sound Mental Health,CSD Emergency and Transitional Svcs,04/01/2015,03/31/2016,$54323.00,"1600 E Olive St, Seattle, WA 98122",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1436,Sound Mental Health,CSD Emergency and Transitional Svcs,04/01/2016,03/31/2017,$57460.00,"1600 E Olive St, Seattle, WA 98122",Various sites (primary site provided)
C1D,Youth Domestic & Sexual Violence Prevention,DA16-1033,Powerful Voices,MODVSAP,01/01/2016,12/31/2016,$62383.00,"1600 S Columbian Way, Seattle, WA 98108",Service Site
C1C,Youth Mentoring,DA16-1754,Big Brothers Big Sisters of Puget Sound,YDAD Youth Development,01/01/2016,12/31/2016,$80542.00,"1600 S Graham St, Seattle, WA 98108",Service Site
C3B,Domestic Violence Victims Services,DA16-1101,Jewish Family Service,MODVSAP,01/01/2016,12/31/2016,$29541.00,"1601 16th Ave, Seattle, WA 98122",Service Site
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1534,Jewish Family Service,ADS Area Agency on Aging,07/01/2015,06/30/2016,$100000.00,"1601 16th Ave, Seattle, WA 98122",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA15-1534,Jewish Family Service,ADS Area Agency on Aging,07/01/2015,06/30/2016,$136157.00,"1601 16th Ave, Seattle, WA 98122",Various sites (primary site provided)
NA3G,Home Food Delivery,DA16-1001,Jewish Family Service,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$69700.00,"1601 16th Ave, Seattle, WA 98122",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1534,Jewish Family Service,ADS Area Agency on Aging,07/01/2016,06/30/2017,$95301.34,"1601 16th Ave, Seattle, WA 98122",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA16-1534,Jewish Family Service,ADS Area Agency on Aging,07/01/2016,06/30/2017,$136614.25,"1601 16th Ave, Seattle, WA 98122",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-4026,Keiro Northwest,ADS Area Agency on Aging,07/01/2015,06/30/2016,$5500.00,"1601 E Yesler Way, Seattle, WA 98122",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-4026,Keiro Northwest,ADS Area Agency on Aging,07/01/2016,06/30/2017,$6000.00,"1601 E Yesler Way, Seattle, WA 98122",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-5170,"On Your Own, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$50604.00,"1602 Peach Park Ln, Puyallup, WA 98371",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-5170,"On Your Own, Inc.",ADS Area Agency on Aging,07/01/2016,12/31/2017,$48302.00,"1602 Peach Park Ln, Puyallup, WA 98371",Various sites (primary site provided)
A2G,Homeless Youth Services,DA16-1467,Peace for the Streets by Kids from the Streets,YDAD Youth Development,01/01/2016,12/31/2016,$229000.00,"1609 19th Ave #100, Seattle, WA 98122",Service Site
A2G,Homeless Youth Services,DA16-1493,Peace for the Streets by Kids from the Streets,YDAD Youth Development,01/01/2016,12/31/2016,$129096.00,"1609 19th Ave #100, Seattle, WA 98122",Service Site
C1A,Youth Outreach and Case Management,DA16-1408,Powerful Voices,YDAD Youth Development,01/01/2016,12/31/2016,$128113.00,"1620 18th Ave, Suite 100, Seattle, WA 98122",Service Site
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1538,Deaf-Blind Service Center,ADS Area Agency on Aging,07/01/2016,06/30/2017,$60240.00,"1620 18th Ave, Suite 200, Seattle, WA 98122",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1538,Deaf-Blind Service Center,ADS Area Agency on Aging,07/01/2015,06/30/2016,$60000.00,"1620 18th Ave, Suite 200, Seattle, WA 98122",Various sites (primary site provided)
B3B,Youth Employment and Training,DA16-1085,Powerful Voices,YDAD Youth Development,01/01/2016,12/31/2016,$85018.00,"1620 18th Ave, Suite 100, Seattle, WA 98122",Service Site
A2G,Homeless Youth Services,DA15-7149,Friends of Youth,YDAD Youth Development,12/01/2015,12/31/2016,$112770.00,"16225 NE 87th St, Suite A-1, Redmond, WA 98052",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1539,"Hearing, Speech & Deaf Center",ADS Area Agency on Aging,07/01/2016,06/30/2017,$80252.00,"1625 19th Ave, Seattle, WA 98122",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1539,"Hearing, Speech & Deaf Center",ADS Area Agency on Aging,07/01/2015,06/30/2016,$79852.00,"1625 19th Ave, Seattle, WA 98122",Various sites (primary site provided)
A2G,Homeless Youth Services,DA15-7440,Neighborcare Health,YDAD Youth Development,12/01/2015,12/31/2016,$15195.00,"1629 N 45th St,  1st Floor, Seattle, WA 98103",Service Site
B1B,Immigrant and Refugee Youth and Family Support,DA16-1303,Vietnamese Friendship Association,YDAD Youth Development,09/01/2016,08/31/2017,$100053.00,"1700 E Union St, Seattle, WA 98122",Service Site
B1B,Immigrant and Refugee Youth and Family Support,DA15-1303,Vietnamese Friendship Association,YDAD Youth Development,09/01/2015,08/31/2016,$100053.00,"1700 E Union St, Seattle, WA 98122",Service Site
B3A,Youth Development and Educational Support,DA15-1511,Vietnamese Friendship Association,YDAD Youth Development,09/01/2015,12/31/2016,$62321.00,"1700 E Union St, Seattle, WA 98122",Service Site
NA3A,Meal Programs,DA16-1593,Community Lunch on Capitol Hill,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$8561.00,"1710 11th Ave, Seattle, WA 98112",Service Site
A2C,Permanent Supportive Housing,DA16-1457,Compass Housing Alliance,CSD Emergency and Transitional Svcs,04/01/2016,03/31/2017,$505033.00,"1753 NW 56th St, Seattle, WA 98107",Service Site
A2C,Permanent Supportive Housing,DA15-1457,Compass Housing Alliance,CSD Emergency and Transitional Svcs,04/01/2015,03/31/2016,$468429.00,"1753 NW 56th St, Seattle, WA 98107",Various sites (primary site provided)
C1E,Community Crime Prevention,DA16-1175,Seattle Neighborhood Group,YDAD Youth Development,01/01/2016,12/31/2016,$437424.00,"1810 E Yesler Way, Seattle, WA 98122",Primary site
C1F,Crime Prevention & Re-Entry Services,DA16-1415,Seattle Neighborhood Group,YDAD Youth Development,01/01/2016,12/31/2016,$340639.00,"1810 E Yesler Way, Seattle, WA 98122",Primary site
E3C,Administrative Operations,DA16-1621,Seattle Neighborhood Group,YDAD Youth Development,01/01/2016,12/31/2016,$148309.57,"1810 E Yesler Way, Seattle, WA 98122",Primary site
E3C,Administrative Operations,DA16-1627,Seattle Neighborhood Group,YDAD Youth Development,04/01/2016,09/30/2017,$23722.00,"1810 E Yesler Way, Seattle, WA 98122",Primary site
B3D,LGBTQ Youth,DA16-1234,Lambert House,YDAD Youth Development,01/01/2016,12/31/2016,$73924.00,"1818 15th Ave, Seattle, WA 98122",Service Site
A2G,Homeless Youth Services,DA16-1468,YouthCare,YDAD Youth Development,02/01/2016,12/31/2016,$352620.00,"1828 Yale Ave, Seattle, WA 98101",Service Site
A2G,Homeless Youth Services,DA16-1777,YouthCare,HSI-Contracts,01/01/2016,06/30/2016,$47904.00,"1828 Yale Ave, Seattle, WA 98101",Service Site
A2G,Homeless Youth Services,DA15-1147,YouthCare,YDAD Youth Development,12/01/2015,12/31/2016,$345041.00,"1828 Yale Ave, Seattle, WA 98101",Service Site
A2G,Homeless Youth Services,DA15-7145,YouthCare,YDAD Youth Development,12/01/2015,12/31/2016,$124230.00,"1828 Yale Ave, Seattle, WA 98101",Service Site
B3B,Youth Employment and Training,DA16-1395,YouthCare,YDAD Youth Development,01/01/2016,12/31/2016,$69356.00,"1828 Yale Ave, Seattle, WA 98101",Service Site
A2G,Homeless Youth Services,DA16-1411,YouthCare,HSI-Contracts,01/01/2016,06/30/2016,$162461.00,"1828 Yale Ave, Seattle, WA 98101",Service Site
NA2A,Homeless Services for Individuals and Families,DA16-1527,YouthCare,CSD Emergency and Transitional Svcs,07/01/2016,12/31/2017,$415925.08,"1828 Yale Ave, Seattle, WA 98101",Service Site
NB3C,Homeless Youth Services,DA16-1527,YouthCare,CSD Emergency and Transitional Svcs,07/01/2016,12/31/2017,$204430.92,"1828 Yale Ave, Seattle, WA 98101",Service Site
A2G,Homeless Youth Services,DA16-5823,YouthCare,HSI-Contracts,01/01/2016,06/30/2016,$57224.00,"1828 Yale Ave, Seattle, WA 98101",Service Site
NA2A,Homeless Services for Individuals and Families,DA16-1617,Mary's Place Seattle,CSD Emergency and Transitional Svcs,07/01/2016,12/31/2017,$579742.00,"1830 9th Ave, Seattle, WA 98101",Service Site
A2A,Emergency Shelters,DA16-1771,Mary's Place Seattle,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$206158.50,"1830 9th Ave, Seattle, WA 98101",Primary site
A2E,Day Centers,DA16-1771,Mary's Place Seattle,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$55426.50,"1830 9th Ave, Seattle, WA 98101",Service Site
Z1C,Evaluation,DC16-1616,"Applied Survey Research, INC",CSD System and Resource Devt,06/01/2016,12/31/2016,$100000.00,"1871 The Alameda, Suite 180, San Jose, CA 95126",Primary site
Z1A,General Administration,DA16-1290,Housing Authority of the City of Seattle,CSD Emergency and Transitional Svcs,09/01/2016,10/31/2017,$193000.00,"190 Queen Anne Ave N, Seattle, WA 98109",Primary site
A2F,Hygiene Services,DA16-1007,Catholic Community Services of Western Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$282855.00,"1900 2nd Ave, Seattle, WA 98101",Service Site
A1A,Housing Stability Services,DA16-1102,Wellspring Family Services,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$299953.00,"1900 Rainier Ave S, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1132,Wellspring Family Services,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$357925.00,"1900 Rainier Ave S, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1171,Wellspring Family Services,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$115875.00,"1900 Rainier Ave S, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1347,Wellspring Family Services,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$387278.00,"1900 Rainier Ave S, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1532,Wellspring Family Services,CSD Emergency and Transitional Svcs,05/01/2016,04/30/2017,$388497.00,"1900 Rainier Ave S, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA15-1532,Wellspring Family Services,CSD Emergency and Transitional Svcs,05/01/2015,04/30/2016,$240606.00,"1900 Rainier Ave S, Seattle, WA 98144",Various sites (primary site provided)
B2H,Coordinated Services for Homeless Young Children and Their Families,DA16-3601,Wellspring Family Services,ELFS Child Development,01/01/2016,12/31/2016,$252000.00,"1900 Rainier Ave S, Seattle, WA 98144",Service Site
C3E,Batterers Treatment,DA16-3921,Wellspring Family Services,MODVSAP,01/01/2016,12/31/2016,$36445.00,"1900 Rainier Ave S, Seattle, WA 98144",Service Site
C1M,Network Coordination Services,DA16-1079,"Therapeutic Health Services, Inc.",YDAD Youth Development,01/01/2016,12/31/2016,$344511.00,"1901 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1160,"Therapeutic Health Services, Inc.",CSD Emergency and Transitional Svcs,08/01/2016,07/31/2017,$93792.00,"1901 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
C1A,Youth Outreach and Case Management,DA16-1320,"Therapeutic Health Services, Inc.",YDAD Youth Development,01/01/2016,12/31/2016,$34264.00,"1901 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
B3C,Youth Mental Health Counseling,DA16-1340,"Therapeutic Health Services, Inc.",YDAD Youth Development,01/01/2016,12/31/2016,$130990.00,"1901 Martin Luther King Jr Way S, Seattle, WA 98144",Service Site
A2G,Homeless Youth Services,DA15-1460,"Therapeutic Health Services, Inc.",YDAD Youth Development,12/01/2015,12/31/2016,$120475.00,"1901 Martin Luther King Jr Way S, Seattle, WA 98144",Various sites (primary site provided)
A2F,Hygiene Services,DA16-1040,Low Income Housing Institute,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$779497.00,"1922 9th Ave, Seattle, WA 98101",Service Site
NC3C,Sexual Assault Victim Services,DA16-7111,King County Sexual Assault Resource Center,MODVSAP,01/01/2016,12/31/2016,$256944.00,"200 Mill Ave S, Suite 10, Renton, WA 98057",Primary site
D5F,Family Caregiver Programs,DA16-1252,Easter Seals Washington,ADS Area Agency on Aging,10/17/2016,06/30/2017,$15000.00,"200 W Mercer St, Suite 210E, Seattle, WA 98119-3954",Various sites (primary site provided)
A2B,Transitional Housing,DA15-5418,Workforce Development Council of Seattle-King County,CSD Emergency and Transitional Svcs,02/01/2015,01/31/2016,$905048.00,"2003 Western Ave, Suite 250, Seattle, WA 98121-2162",Various sites (primary site provided)
A2G,Homeless Youth Services,DA16-1225,The Pride Foundation,YDAD Youth Development,06/01/2016,11/30/2016,$5000.00,"2014 E Madison St, Suite 300, Seattle, WA 98122",Primary site
NC3C,Sexual Assault Victim Services,DA16-1062,YWCA of Seattle-King County-Snohomish County,MODVSAP,01/01/2016,12/31/2016,$65049.00,"2024 3rd Ave, Seattle, WA 98121",Service Site
A2E,Day Centers,DA16-1045,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$799867.00,"2030 3rd Ave , Seattle, WA 98121",Service Site
A2A,Emergency Shelters,DA16-1045,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$104786.00,"2030 3rd Ave , Seattle, WA 98121",Service Site
NA3A,Meal Programs,DA16-1042,Downtown Emergency Service Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$14104.00,"204 3rd Ave S 98104, Seattle, WA 98104",Service Site
A2C,Permanent Supportive Housing,DA16-1070,Plymouth Housing Group,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$405860.96,"2113 3rd Ave, Seattle, WA 98121",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1184,Plymouth Housing Group,CSD Emergency and Transitional Svcs,05/01/2016,04/30/2017,$518411.00,"2113 3rd Ave, Seattle, WA 98121",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA15-1184,Plymouth Housing Group,CSD Emergency and Transitional Svcs,05/01/2015,04/30/2016,$487517.00,"2113 3rd Ave, Seattle, WA 98121",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1386,Plymouth Housing Group,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$130231.00,"2113 3rd Ave, Seattle, WA 98121",Various sites (primary site provided)
A2J,Homeless Outreach and Case Management,DA16-1594,Evergreen Treatment Services,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$505511.00,"2133 3 Ave, Seattle, WA 98121",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-7202,"Millennia Healthcare, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$110602.60,"21400 International Blvd, SeaTac , WA 98198",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-7202,"Millennia Healthcare, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$43188.00,"21400 International Blvd, SeaTac , WA 98198",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-7202,"Millennia Healthcare, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$45184.00,"21400 International Blvd, SeaTac, WA  98198",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-7202,"Millennia Healthcare, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$122200.00,"21400 International Blvd, SeaTac, WA 98198",Various sites (primary site provided)
A3B,Senior Congregate Meal Programs,DA16-1011,Greater Maple Valley Community Center,ADS Self-Sufficiency,01/01/2016,12/31/2016,$37816.80,"22010 SE 248th St, Maple Valley, WA 98038",Service Site
A3B,Senior Congregate Meal Programs,DA16-1109,Sound Generations,ADS Area Agency on Aging,01/01/2016,12/31/2016,$792838.77,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
A3G,Home Food Delivery,DA16-1176,Sound Generations,ADS Area Agency on Aging,01/01/2016,12/31/2016,$906688.80,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA16-1337,Sound Generations,ADS Area Agency on Aging,07/01/2016,06/30/2017,$243180.00,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
A1C,Stabilize People in Housing/Minor Home Repair Services,DA16-1477,Sound Generations,CSD Community Facilities,01/01/2016,12/31/2016,$449917.00,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1551,Sound Generations,ADS Area Agency on Aging,07/01/2016,06/30/2017,$360202.46,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA15-1337,Sound Generations,ADS Area Agency on Aging,07/01/2015,06/30/2016,$243180.00,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1551,Sound Generations,ADS Area Agency on Aging,07/01/2015,06/30/2016,$449132.28,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-4002,Sound Generations,ADS Area Agency on Aging,07/01/2015,06/30/2016,$44500.00,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
D3A,Transportation,DA16-1030,Sound Generations,ADS Area Agency on Aging,01/01/2016,12/31/2016,$329403.54,"2208 Second Ave, Suite 100, Seattle , WA 98121-2055",Various sites (primary site provided)
